PlayerName,Score,Team,SlotPosition
Michael Wiley,0,Free Agent / Waivers,N/A
Hunter Luepke,3.8,Free Agent / Waivers,N/A
Chris Conley,0.0,Free Agent / Waivers,N/A
Riley Patterson,0,Free Agent / Waivers,N/A
Avery Williams,0.0,Free Agent / Waivers,N/A
Kyle Trask,-0.2,Free Agent / Waivers,N/A
Parris Campbell,0,Free Agent / Waivers,N/A
Xavier Weaver,0.0,Free Agent / Waivers,N/A
Albert Okwuegbunam Jr.,0.0,Free Agent / Waivers,N/A
Blake Watson,0.0,Free Agent / Waivers,N/A
Logan Thomas,0,Free Agent / Waivers,N/A
Charlie Woerner,1.4,Free Agent / Waivers,N/A
Michael Pratt,0,Free Agent / Waivers,N/A
Equanimeous St. Brown,0,Free Agent / Waivers,N/A
Chris Evans,0.0,Free Agent / Waivers,N/A
Gunner Olszewski,0.0,Free Agent / Waivers,N/A
Khari Blasingame,0.0,Free Agent / Waivers,N/A
Brenton Strange,0.0,Free Agent / Waivers,N/A
Casey Washington,0.0,Free Agent / Waivers,N/A
Jaheim Bell,0.0,Free Agent / Waivers,N/A
SaRodorick Thompson Jr.,0,Free Agent / Waivers,N/A
Ryan Tannehill,0,Free Agent / Waivers,N/A
Josh Whyle,0.0,Free Agent / Waivers,N/A
Julian Hill,1.6,Free Agent / Waivers,N/A
River Cracraft,0.0,Free Agent / Waivers,N/A
Jerick McKinnon,0,Free Agent / Waivers,N/A
Lucas Krull,0.0,Free Agent / Waivers,N/A
Taylor Heinicke,0.0,Free Agent / Waivers,N/A
Eric Saubert,0.0,Free Agent / Waivers,N/A
Dorian Thompson-Robinson,0.0,Free Agent / Waivers,N/A
Kyle Allen,0.0,Free Agent / Waivers,N/A
Brandon Allen,-0.1,Free Agent / Waivers,N/A
Peyton Hendershot,0.0,Free Agent / Waivers,N/A
Damien Harris,0.0,Free Agent / Waivers,N/A
Cornelius Johnson,0,Free Agent / Waivers,N/A
Sean Clifford,0,Free Agent / Waivers,N/A
Christopher Dunn,0,Free Agent / Waivers,N/A
David Bell,0,Free Agent / Waivers,N/A
Josh Lambo,0,Free Agent / Waivers,N/A
Charlie Kolar,0.0,Free Agent / Waivers,N/A
Cody Schrader,0.0,Free Agent / Waivers,N/A
Kene Nwangwu,0.0,Free Agent / Waivers,N/A
Irv Smith Jr.,0,Free Agent / Waivers,N/A
Jacob Saylors,0,Free Agent / Waivers,N/A
Trent Sherfield Sr.,0.0,Free Agent / Waivers,N/A
Byron Pringle,0,Free Agent / Waivers,N/A
Jordan Mims,1.1,Free Agent / Waivers,N/A
Matt Ryan,0,Free Agent / Waivers,N/A
Nick Foles,0,Free Agent / Waivers,N/A
Tre'Quan Smith,0.0,Free Agent / Waivers,N/A
Teddy Bridgewater,0.0,Free Agent / Waivers,N/A
Tip Reiman,0.0,Free Agent / Waivers,N/A
Chris Moore,0.0,Free Agent / Waivers,N/A
Ian Thomas,0.0,Free Agent / Waivers,N/A
Allen Robinson II,0,Free Agent / Waivers,N/A
Quintin Morris,0.0,Free Agent / Waivers,N/A
DJ Turner,1.9,Free Agent / Waivers,N/A
Isaiah McKenzie,0,Free Agent / Waivers,N/A
Darrynton Evans,0.0,Free Agent / Waivers,N/A
Easton Stick,0.0,Free Agent / Waivers,N/A
Isaiah Spiller,0,Free Agent / Waivers,N/A
British Brooks,0.0,Free Agent / Waivers,N/A
Luke Farrell,0.0,Free Agent / Waivers,N/A
Tanner McKee,0.0,Free Agent / Waivers,N/A
Parker Hesse,0.0,Free Agent / Waivers,N/A
Lil'Jordan Humphrey,0.0,Free Agent / Waivers,N/A
Robbie Gould,0,Free Agent / Waivers,N/A
Mike White,0,Free Agent / Waivers,N/A
Desmond Ridder,0,Free Agent / Waivers,N/A
Lucky Jackson,0,Free Agent / Waivers,N/A
Dante Pettis,0,Free Agent / Waivers,N/A
Antoine Green,0.0,Free Agent / Waivers,N/A
Dante Miller,0,Free Agent / Waivers,N/A
Justin Jackson,0.0,Free Agent / Waivers,N/A
Bryce Ford-Wheaton,0.0,Free Agent / Waivers,N/A
Brett Maher,0,Free Agent / Waivers,N/A
John Bates,0.0,Free Agent / Waivers,N/A
Cole Fotheringham,0,Free Agent / Waivers,N/A
John Stephens Jr.,0.0,Free Agent / Waivers,N/A
Jaren Hall,0,Free Agent / Waivers,N/A
Case Keenum,0.0,Free Agent / Waivers,N/A
Devin Leary,0,Free Agent / Waivers,N/A
Jake Tonges,0.0,Free Agent / Waivers,N/A
Dareke Young,0.0,Free Agent / Waivers,N/A
Rashaad Penny,0,Free Agent / Waivers,N/A
Payne Durham,0.0,Free Agent / Waivers,N/A
Clayton Tune,0.0,Free Agent / Waivers,N/A
Josh Gordon,0,Free Agent / Waivers,N/A
Harrison Bryant,0.0,Free Agent / Waivers,N/A
Nathan Rourke,0,Free Agent / Waivers,N/A
Ben DiNucci,0,Free Agent / Waivers,N/A
Steven Sims,0.0,Free Agent / Waivers,N/A
Jaelon Darden,0.0,Free Agent / Waivers,N/A
Nick Sciba,0,Free Agent / Waivers,N/A
Reggie Gilliam,0.0,Free Agent / Waivers,N/A
Zach Pascal,0.0,Free Agent / Waivers,N/A
Stone Smartt,0.0,Free Agent / Waivers,N/A
Hunter Long,0.0,Free Agent / Waivers,N/A
DeWayne McBride,0,Free Agent / Waivers,N/A
Grant DuBose,0.0,Free Agent / Waivers,N/A
Tyreik McAllister,0.0,Free Agent / Waivers,N/A
Keaontay Ingram,0,Free Agent / Waivers,N/A
Keilan Robinson,0.0,Free Agent / Waivers,N/A
Jake Funk,0,Free Agent / Waivers,N/A
Chris Manhertz,0.0,Free Agent / Waivers,N/A
Myles Gaskin,-0.3,Free Agent / Waivers,N/A
Ryan Succop,0,Free Agent / Waivers,N/A
Will Mallory,0.0,Free Agent / Waivers,N/A
Derek Watt,0,Free Agent / Waivers,N/A
Brady Russell,0.0,Free Agent / Waivers,N/A
Kameron Johnson,0.0,Free Agent / Waivers,N/A
Adam Prentice,0.0,Free Agent / Waivers,N/A
Scott Matlock,0.0,Free Agent / Waivers,N/A
Chris Brooks,0,Free Agent / Waivers,N/A
Max Duggan,0,Free Agent / Waivers,N/A
Tejhaun Palmer,0,Free Agent / Waivers,N/A
Kevin Harris,0,Free Agent / Waivers,N/A
Nathan Peterman,0,Free Agent / Waivers,N/A
Ko Kieft,0.0,Free Agent / Waivers,N/A
Simi Fehoko,0.0,Free Agent / Waivers,N/A
Boston Scott,0,Free Agent / Waivers,N/A
Zach Evans,0,Free Agent / Waivers,N/A
Anthony Brown Jr.,0,Free Agent / Waivers,N/A
Ross Dwelley,0.0,Free Agent / Waivers,N/A
Colson Yankoff,0.0,Free Agent / Waivers,N/A
Chris Blair,0.0,Free Agent / Waivers,N/A
Bailey Zappe,0,Free Agent / Waivers,N/A
Quez Watkins,0,Free Agent / Waivers,N/A
Terrace Marshall Jr.,0,Free Agent / Waivers,N/A
Tucker Fisk,0,Free Agent / Waivers,N/A
Deneric Prince,0,Free Agent / Waivers,N/A
Randy Bullock,0,Free Agent / Waivers,N/A
Joshua Kelley,0,Free Agent / Waivers,N/A
Melvin Gordon III,0,Free Agent / Waivers,N/A
Jordan Matthews,0.0,Free Agent / Waivers,N/A
Isaiah Hodgins,0,Free Agent / Waivers,N/A
MyCole Pruitt,1.9,Free Agent / Waivers,N/A
Tyler Huntley,0,Free Agent / Waivers,N/A
Armani Rogers,0,Free Agent / Waivers,N/A
